Aashaq's Wyvern,8,dragon,temperate or warm hills,"This light purple dragon has immense wings and a bifurcated tail, each end tipped with a hooked stinger. Heavy smoke drips from the beast's nostrils and jaws.","Aashaq's wyverns resemble the typical wyverns commonly found throughout the Inner Sea region in mregards, but they have been warped by magic. Unlike their more mundane cousins, these wyverns have bifurcated tails that allow for two stinging attacks, and are able to emit a noxious blast of gas that burns and blinds those in its path. Aashaq's wyverns reside in the natural caves that honeycomb the cliffs of Dahak's Teeth, and were common wyverns until the evil dragon Aashaq commandeered the islands. Seeing these beasts as the perfect deacons for her dark cult, Aashaq twisted the very fabric of the wyverns until she settled upon the form now most commonly encountered on Dahak's Teeth. Their very name is indicative of the wyverns' servitor status, and they are occasionally even ridden as mounts by Dahak cultists. Aashaq gives her wyvern minions a remarkable amount of freedom, but most never stray too far from the three islands that make up Dahak's Teeth. Mariners who make their way past the dreaded isles know to watch out for the beasts, which assail unprepared ships from both skies and waters in order to feed upon their crews and capture their cargo for Aashaq. The corrupting inf luence of Aashaq's chaotic manipulations has also provided these unpredictable creatures with resistance to acid, fire, and magic. A typical Aashaq's wyvern is 18 feet in length  and weighs 2,500 pounds. Their scales can vary in tint, but are usually purple. Though only slightly more intelligent than their common kin, the Dahak-worshiping wyverns enjoy lording their ""superior"" status over the lesser specimens found on other islets.",4800
Aasimar,0.5,outsider,land,"This supernaturally beautiful woman looks human, yet emanates a strange sense of calm and benevolence.","Aasimars are humans with a signif icant amount of celestial or other good outsider blood in their ancestry. Aasimars are not always good, but it is a natural tendency for them, and they gravitate to good faiths or organizations associated with celestials. Aasimar heritage can hide for generations, only to appear suddenly in the child of two apparently human parents. Most societies interpret aasimar births as good omens. Aasimars look mostly human except for some minor physical trait that reveals their unusual heritage. Typical aasimar features are hair that shines like metal, unusual eye or skin color, or even glowing golden halos. Aasimar Characters Aasimars are defined by class levels-they do not possess racial Hit Dice. Aasimars have the following racial traits. +2 Charisma, +2 Wisdom: Aasimars are insightful, confident, and personable. Normal Speed: Aasimars have a base speed of 30 feet. Darkvision: Aasimars can see in the dark up to 60 feet. Skilled: Aasimars have a +2 racial bonus on Diplomacy and Perception checks. Spell-Like Ability: Aasimars can use daylight once per day as a spell-like ability . Celestial Resistance: Aasimars have acid resistance 5, cold resistance 5, and electricity resistance 5. Languages: Aasimars begin play speaking Common and Celestial. Aasimars with high Intelligence scores can choose of the following bonus languages: Draconic, Dwarven, Elven, Gnome, Half ling, and Sylvan.",200
Aballonian,7,construct,Aballon,"This insectile construct skitters around on metallic legs, its manipulators clacking and glowing eyes searching.","Aballonians are intelligent, self-modifying constructs. The stat block presented here represents only the most basic type found on Aballon, with much larger or smaller variants taking the form of gargantuan excavators, gliding solar-powered flyers, ribbonlike serpent creatures, disembodied processor intelligences, or stranger designs.",3200
Abasheen Genie,7,outsider,any,This being stands 8 feet tall in flowing robes of purple and gold. Its hair is black and tied back in a ponytail with a ribbon of gold.,"Abasheens are genies from the Plane of Air and serve the nobles of that plane as diplomats, couriers, and emissaries. Some of the less scrupulous serve as spies and insurgents. They are extremely clever and often let their arrogance interfere with their assignments. Abasheen look down on all creatures from the Material Plane. Abasheens and common djinn tolerate each other, but that is as far as it goes. They rarely work together and when they do, such pairings often degenerate into quarrels. The society structure of the abasheen is unknown but it is believed to be vastly different than that of the other genies. No abasheen nobles are known to exist and the entire race seems to be servitor to the race of djinn. An abasheen stands about 8 feet tall and is always dressed in flowing robes colored to denote their current station. Their skin is dark and their build powerful. All have dark hair, either black or brown, and most wear their hair braided or pulled into a ponytail, tied with ribbons of gold or silver. Abasheens rely on their physical attack and spell-like abilities in combat. When combat starts, an abasheen commands one of its opponents  to drop or flee . On its next action it either bashes an opponent with its fists  or attempts to charm an enemy spellcaster. During combat, an abasheen rarely touches the ground, preferring to remain airborne and above its opponents. They rarely fight to the death. Should combat turn against an abasheen it always attempts to escape, usually by plane shifting away. Copyright Notice Authors Lance and Travis Hawvermale.",3200
Aberrant,5,humanoid,temperate mountains or underground,"This hulking giant is hideous and deformed. Its body is covered in coarse, dark hair and oozing blisters.","Aberrants make their homes in caves, abandoned mines, or deep underground away from civilization. They shun contact with outsiders except when raiding or ambushing travelers who have ventured near their lair. Captured trespassers are kept for food, slaves, or traded to other aberrant clans for goods. Aberrants are shunned by other giants and take great pleasure in attacking, killing, or maiming other giants and those that despise them. Aberrants stand about 14 feet tall, with malformed, grotesquely deformed bodies. Aberrants engage their enemies with their greatclubs. Their various deformities prevent them from hurling rocks. Though not as dim-witted as some other giants, aberrants generally employ less than graceful tactics and do little more than pound their enemies into paste with their clubs. Aberrant Society The strong rule, and the weak fall. That is the way of life for the aberrants. Each tribe or clan is led by the largest and strongest aberrant. All others rank beneath the leader. New leaders are appointed when the current leader dies. A contest of skill is held with the survivor being elected the new tribal leader and the loser being buried with his fellow giants. Aberrant tribes often capture defeated foes and keep them as slaves or trade them to other tribes in exchange for food, goods, or services. Aberrant Characters Aberrant leaders are barbarians or adepts. Most groups of aberrants include clerics with access to two of the following domains: Chaos, Evil, Trickery, and War . +12 Strength, -2 Dexterity, +6 Constitution, +4 Wisdom. Aberrants are powerful and hardy, and unusually canny creatures. Large Size: -1 penalty to AC, -1 penalty to attack rolls, -4 penalty on Stealth checks, +1 bonus on CMB and CMD, lifting and carrying limits double those of Medium creatures. Space/Reach: 10 ft./10 ft. Darkvision: Aberrants can see in the dark up to 60 feet. Low-Light Vision: Aberrants can see twice as far as humans in dimly lit conditions. Racial Hit Dice: An aberrant begins with eight levels of humanoid, which provide 8d8 Hit Dice, a base attack bonus of +6, and base saving throw bonuses of Fort +6, Ref +2, and Will +2. Racial Skills: An aberrant's humanoid levels give it skill points equal to 8 x . Racial Feats: An aberrant's humanoid levels give it four feats. AC: +7 natural armor bonus. Special Attacks: Oversized weapon fighting, deformities . Special Qualities: Deformities, slow and steady . Weapon Familiarity: Aberrants are proficient with simple and martial weapons. Armor Familiarity: Aberrants are proficient with light and medium armor and with shields . Languages: Aberrants begin play speaking Giant and Common. Aberrants with high intelligence can choose from among the following bonus languages: Aklo, Dwarven, Gnome, Goblin, Orc, Undercommon.",1600
Aboleth,7,aberration,waters,"Four long tentacles writhe from this three-eyed fish-like creature's f lanks, and its green body glistens with thick, clear slime.","As befits their hideous primeval appearance, the hermaphroditic aboleths are among the world's oldest forms of life. Ancient even when the gods first turned their eyes to the Material Plane, the aboleths have always existed apart from other mortal life, alien and cold and endlessly plotting. They once ruled the world with vast empires, and today view most other forms of life as either food or slaves-and sometimes both. They disdain the gods and see themselves as the true masters of creation. An aboleth is 25 feet long and weighs 6,500 pounds. In the darkest reaches of the sea, aboleths still dwell in grotesque cities built in nauseating and cyclopean styles. There they are served by countless slaves culled from every nation, air-breathing and waters alike, although the air-breathing slaves are doubly bound by magic and the need to constantly replenish their waters-breathing ability via the excretions of their aboleth masters. Lone aboleths are often advance scouts for these hidden cities, seeking out new slaves.",2400
Abyss Gigas,16,humanoid,any,"This ebon-skinned monstrosity has a gaping maw with boarlike tusks and a wide nose beneath a furrowed brow that lacks sort of eyes or visible visual organs. Its corded muscles twist and writhe beneath its smooth, hairless jet hide, giving its frame a gnarled, unbalanced asymmetry. It moves with a loping gait, however, and wears its armor, composed of thick, welded plates, effortlessly.","Spawned from titans who took refuge in the rifts of the Abyss, the Abyss gigas roam the wastes between the oncemighty titan fortresses. These powerful beings do not typically dwell among their own kind, preferring instead to enslave lesser beings-demons and captured planar travelers-and rule over them as despotic tyrants. MAbyss gigas serve more powerful demon lords in turn. When more than one of the thankfully rare Abyss gigas live near each other, they exist in a state of perpetual warfare, sending forth wave after wave of their minions in battle. In these situations, only rarely do the gigas masters ever face each other and come to blows, and even then never to the death, as they are aware of the fragile existence of their nearly extinct race. When facing other opponents, however, an Abyss gigas is a fearsome foe, battling to the death to prove the superiority of its ancient line. When encountered on the Material Plane, Abyss gigas are fond of taking control of companies of giants and compelling them to do their bidding, feeling at once both a distant kinship and a sense of domineering superiority. Frost giant cults of Kostchtchie are frequent recipients of this sort of attention. Abyss gigas stand over 50 feet tall and weigh 25 tons or more, not including the weight of their Abyss-forged armor and weapons of adamantine. Abyss gigas usually favor the weapons of their demonic patrons. For example, followers of Kostchtchie often wield giant warhammers in both hands, servants of Lamashtu carry falchions, and those serving Urxehl use spiked greatclubs.",76800
Abyssal Harvester,17,aberration,the Abyss,"This gigantic beast stands at least 40 feet tall. It is a squat, bloated mass of grayish, leathery flesh, somewhat oval in shape with six long, serpentine tentacles protruding from its form. A massive gaping maw dominates its top surface extending around its entire top half. Hundreds of smaller tentacles adorn the lower part of its body, apparently aiding in locomotion.","Abyssal harvesters are horrid monsters found primarily on the Abyssal planes and rarely anywhere else . They were created by foul and demonic magic to aid in harvesting bodies and living creatures from other planes for use by the various demon lords and princes . An abyssal harvester spends most of its time scouring the planes for potential prey. It does so by injecting a single tentacle into the plane and using it to survey its surroundings. If nothing of interest is located, the harvester withdraws its tentacle and moves on. Much of its time is spent scouring the planes as directed by a demon prince, lord, or other powerful demon . When not under the direct orders of a prince or demon, creature a harvester harvests becomes a meal for itself. A typical abyssal harvester is 40 feet tall, 20 feet wide at its base, and weighs around 40 tons. Its flesh is gray and usually carries a stench of ozone. Abyssal harvesters are deadly opponents in battle and have no reservations about engaging an enemy in combat. The creature is smart enough to know when it is beaten however and will withdraw  if combat is going against it. Most of the time however, an abyssal harvester simply injects its tentacles into a plane, grapples its foes, and when they are sufficiently weakened, draws them through a temporary gate onto its plane where it devours them. Foes can attack an abyssal harvester's tentacles. A tentacle has AC 21 , touch 10, flat-footed 21, and can withstand 30 points of damage. Damaging or severing a tentacle does not harm the abyssal harvester . An abyssal harvester's natural weapons, as well as weapons it wields, are treated as chaotic-aligned and evil-aligned for the purpose of overcoming damage reduction.",102400
Abyssal Larva,1,outsider,the Abyss,"This creature looks like a puffy and bloated human-sized whitish-yellow maggot with purplish veins pulsating under its fleshy form. A vaguely humanoid head sits atop its body and its facial features are twisted and distraught as if the creature was in a constant state of pain. A pair of large, downward-curving horns juts from its head, just above its sunken eyes. Its mouth is lined with filthy and sharpened fangs.","Abyssal larvae are believed to be the final form of an evil soul deemed too weak to become a demon and too weak to become the servant of a demon. Another theory suggests that the larvae are the imprisoned forms of slain demon princes and lords. Whatever their true origin, abyssal larvae are plentiful throughout the Abyssal planes, and are some of the most disgusting and loathsome creatures encountered. These creatures feed on anything they can consume, be it rotting carcasses, freshly slain creatures, and even waste. Consumables are first liquefied through a process requiring the abyssal larva to regurgitate stomach acids onto its meal. As the food breaks down, the larva slurps it up and consumes it. While loathed by the more civilized, some demons, such as dretches and babaus, savor the juicy flesh of these creatures and often engage in hunting expeditions across the Abyss, killing and devouring as mof these creatures as they can find. Acting as if almost mindless, abyssal larvae attack living creature they encounter. They have no real tactics other than swarming a foe and biting relentlessly. These creatures fight until destroyed. An abyssal larva's natural weapons, as well as weapon it wields, is treated as chaotic-aligned and evil-aligned for the purpose of overcoming damage reduction.",400
Abyssal Wolf,7,magical beast,The Abyss,"This creature is a man-sized wolf with deep blackish-blue fur and fiery orange eyes. Its coat is caked with blood, and bits of flesh hang from its toothy maw.","Abyssal wolves roam the Abyss seeking sources of meat. They savor the flesh and blood of lesser demons and have a particular liking for the taste of tieflings and good-aligned outsiders. Should a pack of abyssal wolves run across one of the aforementioned creatures, it does not hesitate to attack. The blood and flesh of half-fiends is another meal that these monsters enjoy, so they rarely turn down an opportunity to hunt on the Material Plane. Mdemon lords find it blasphemous that their own kind mate with mortals, and thus unleash these monsters on the Material Plane to deal with such creatures. Most often when encountered on the Material Plane, abyssal wolves have either been summoned by an evil spellcaster or unleashed by one of the demonic lords of the Abyss. The abyssal wolf is a man-sized wolf that stands 5 feet tall at the shoulder. When enraged, the hair on the nape of its neck stands up and the wolf issues forth a low growl, bearing its razor-sharp  teeth. Abyssal wolves hunt in packs. When prey is sighted, the monsters move within range where they can use their paralyzing gaze. Foes that are not paralyzed are dealt with first; the wolves circle an opponent and take turns charging in and attacking. A foe that is tripped is pounced on by the pack. Once the pack deals with the immediate threat, they turn their attention to paralyzed creatures and tear them to pieces. Copyright Notice Author Scott Greene.",3200
